s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-12.7240463,-40.2122319,-2.1110270,-0.001822,15.0,0.0
1.9953817,-11.0146298,-41.2415055,-2.1144472,-0.001606,15.0,0.0
3.9907634,-9.3084714,-42.2762814,-2.1174362,-0.001390,15.0,0.0
5.9861450,-7.6052628,-43.3157403,-2.1199939,-0.001174,15.0,0.0
7.9815267,-5.9043736,-44.3592592,-2.1221205,-0.000958,15.0,0.0
9.9769084,-4.2055156,-45.4060054,-2.1238157,-0.000741,15.0,0.0
11.9722901,-2.5083943,-46.4551486,-2.1250793,-0.000525,15.0,0.0
13.9676718,-0.8120351,-47.5062771,-2.1259086,-0.000306,15.0,0.0
15.9630534,0.8835331,-48.5583483,-2.1263010,-0.000089,15.0,0.0
17.9584351,2.5786113,-49.6105329,-2.1262651,0.000125,15.0,0.0
19.9538168,4.2744525,-50.6625836,-2.1257739,0.000368,15.0,0.0
21.9491985,5.9710048,-51.7133592,-2.1248186,0.000565,15.0,0.0
23.9445802,7.6681375,-52.7618588,-2.1235443,0.000713,15.0,0.0
25.9399618,9.3673504,-53.8069395,-2.1201884,0.002684,15.0,0.0
27.9353435,11.0709364,-54.8419863,-2.1122920,0.005850,15.0,0.0
29.9307252,12.7902728,-55.8591009,-2.0962704,0.010149,15.0,0.0
31.9261069,14.5273690,-56.8178176,-2.0425648,0.043830,15.0,0.0
33.9214886,16.3579191,-57.6314951,-1.9275546,0.068230,15.0,0.0
35.9168703,18.2768499,-58.1840069,-1.7652912,0.096613,15.0,0.0
37.9122519,20.3187897,-58.3860257,-1.5815544,0.079284,15.0,0.0
39.9076336,22.2717335,-58.2575004,-1.4307291,0.066507,15.0,0.0
41.9030153,24.1788846,-57.9184791,-1.3850779,0.008157,15.0,0.0
43.8983970,26.1248892,-57.4825828,-1.2946907,0.072632,15.0,0.0
45.8937787,28.0090564,-56.7963667,-1.1555907,0.059024,15.0,0.0
47.8891603,29.8143041,-55.8727249,-1.0408881,0.054741,15.0,0.0
49.8845420,31.4867760,-54.7769000,-0.9458288,0.039225,15.0,0.0
51.8799237,33.0624173,-53.5576023,-0.8825129,0.026703,15.0,0.0
53.8753054,34.5652219,-52.2618407,-0.8392319,0.017643,15.0,0.0
55.8706871,36.0278688,-50.9035934,-0.8064041,0.015079,15.0,0.0
57.8660687,37.4315461,-49.5126769,-0.7682840,0.028819,15.0,0.0
59.8614504,38.7699379,-48.0279421,-0.6944090,0.040969,15.0,0.0
61.8568321,39.9810285,-46.4500878,-0.6155482,0.038912,15.0,0.0
63.8522138,41.0952967,-44.7384372,-0.5420283,0.030146,15.0,0.0
65.8475955,42.0653704,-43.0244466,-0.4900771,0.023647,15.0,0.0
67.8429771,42.9849807,-41.2261185,-0.4640339,-0.001999,15.0,0.0
69.8383588,43.8636730,-39.4916163,-0.4634811,0.022742,15.0,0.0
71.8337405,44.6884261,-37.6740192,-0.3787100,0.049599,15.0,0.0
73.8291222,45.3390506,-35.7749562,-0.2816768,0.048784,15.0,0.0
75.8245039,45.8024250,-33.8292758,-0.1882098,0.043184,15.0,0.0
77.8198855,46.0954765,-31.8507921,-0.1079157,0.036878,15.0,0.0
79.8152672,46.2419508,-29.8611792,-0.0413734,0.029916,15.0,0.0
81.8106489,46.2723368,-27.8656557,0.0059500,0.015821,15.0,0.0
83.8060306,46.2398804,-25.8727392,0.0219160,0.002896,15.0,0.0
85.8014123,46.1924711,-23.8778381,0.0245607,-0.000246,15.0,0.0
87.7967940,46.1450650,-21.8826458,0.0228281,-0.000922,15.0,0.0
89.7921756,46.1013203,-19.8881376,0.0210521,-0.000854,15.0,0.0
91.7875573,46.0609598,-17.8931898,0.0194336,-0.000768,15.0,0.0
93.7829390,46.0236586,-15.8980738,0.0179803,-0.000690,15.0,0.0
95.7783207,45.9891087,-13.9031830,0.0166802,-0.000613,15.0,0.0
97.7737024,45.9569967,-11.9080809,0.0155334,-0.000536,15.0,0.0
99.7690840,45.9270207,-9.9129761,0.0145388,-0.000461,15.0,0.0
101.7644657,45.8988803,-7.9178644,0.0136936,-0.000386,15.0,0.0
103.7598474,45.8722756,-5.9226697,0.0129989,-0.000310,15.0,0.0
105.7552291,45.8469107,-3.9276427,0.0124509,-0.000240,15.0,0.0
107.7506108,45.8225040,-1.9323540,0.0120165,-0.000258,15.0,0.0
109.7459924,45.7992150,0.0629040,0.0112398,-0.000520,15.0,0.0
111.7413741,45.7779950,2.0580672,0.0099462,-0.000775,15.0,0.0
113.7367558,45.7598584,4.0535274,0.0081471,-0.001028,15.0,0.0
115.7321375,45.7458172,6.0488647,0.0058424,-0.001282,15.0,0.0
117.7275192,45.7368789,8.0441461,0.0030329,-0.001534,15.0,0.0
119.7229008,45.7340490,10.0395938,-0.0002802,-0.001786,15.0,0.0
121.7182825,45.7383275,12.0349445,-0.0040906,-0.002033,15.0,0.0
123.7136642,45.7507022,14.0301518,-0.0083980,-0.002286,15.0,0.0
125.7090459,45.7721457,16.0254130,-0.0129952,-0.001587,15.0,0.0
127.7044276,45.7986474,18.0204586,-0.0122778,0.002301,15.0,0.0
129.6998092,45.8118848,20.0173588,0.0047782,0.018143,15.0,0.0
131.6951909,45.7526433,22.0080364,0.0618904,0.040279,15.0,0.0
133.6905726,45.5331627,23.9862169,0.1671189,0.064275,15.0,0.0
135.6859543,45.0669967,25.9404625,0.2992129,0.061892,15.0,0.0
137.6813360,44.3612457,27.8097576,0.4238111,0.062636,15.0,0.0
139.6767177,43.4367589,29.5821089,0.5309243,0.042155,15.0,0.0
141.6720993,42.3591819,31.2373249,0.6432323,0.092627,15.0,0.0
143.6674810,40.9988237,32.6818168,0.8779726,0.121811,15.0,0.0
145.6628627,39.3171647,33.7638181,1.1232515,0.131103,15.0,0.0
147.6582444,37.4208717,34.3871125,1.3777313,0.117537,15.0,0.0
